CV11AH,433469,279255,
CV11AJ,433371,279461,
CV11DD,433303,278971,
CV11DE,433315,279038,
CV11DF,433231,278881,
CV11DG,433180,278797,
CV11DL,433197,278908,
CV11DN,433147,278959,
CV11DS,433131,278991,
CV11DX,433168,279043,
CV11DY,433072,278587,
CV11EA,433251,278903,
CV11EE,433199,278722,
CV11EJ,433153,278655,
CV11ET,433123,278635,
CV11EU,433123,278635,
CV11EX,433180,278682,
CV11EY,433086,278606,
CV11FD,433367,279126,
CV11FE,433503,279154,
CV11FJ,433455,279197,
CV11FL,433485,279172,
CV11FN,433382,279251,
CV11FQ,433383,278949,
CV11FS,433349,278977,
CV11FX,433249,279088,
CV11FY,433210,279138,
CV11FZ,433239,279205,
CV11GF,433153,279120,
CV11GG,433214,279184,
CV11GS,433150,279204,
CV11GU,433243,279276,
CV11GX,433130,279162,
CV11HF,433377,279142,
CV11HG,433413,279168,
CV11HL,433386,279230,
CV11HN,433357,279223,
CV11HT,433288,279452,
CV11HU,433321,279384,
CV11JA,433566,279269,
CV11JB,433403,279275,
CV11JD,433416,279311,
CV11JN,433352,279457,
CV11JQ,433544,279416,
CV11JR,433514,279370,
CV11JS,433495,279506,
CV11LA,433392,278899,
CV11LB,433364,278871,
CV11LF,433323,278871,
CV11LH,433216,278791,
CV11LL,433446,278974,
CV11LN,433464,279042,
CV11NA,433407,279086,
CV11NB,433351,279071,
CV11NE,433398,278954,
CV11NF,433349,278977,
CV11NG,433349,278977,
CV11NH,433349,278977,
CV11NQ,433103,279038,
CV11NR,433103,279038,
CV11PB,433029,279009,
CV11QL,433279,279178,
CV11QS,433282,279138,
CV11QT,433304,279081,
CV11QX,433282,279138,
CV11WX,436786,276091,
CV11YT,436786,276091,
CV11YX,436786,276091,
CV11ZA,436786,276091,
CV12AA,434165,278497,
CV12AB,434134,278485,
CV12AD,434233,278339,
CV12AE,434202,278325,
CV12AF,434266,278355,
CV12AG,434306,278354,
CV12AH,434196,278526,
CV12AJ,434226,278538,
CV12AL,434262,278563,
CV12AN,434277,278431,
CV12AP,434308,278576,
CV12AQ,434409,278416,
CV12AR,434462,278454,
CV12AS,434369,278469,
CV12AT,434648,278478,
CV12AU,434666,278454,
CV12AW,434518,278509,
CV12AX,434454,278502,
CV12AY,434474,278387,
CV12AZ,434644,278271,
CV12BA,434595,278268,
CV12BB,434641,278324,
CV12BD,434710,278306,
CV12BE,434842,278112,
CV12BF,434563,278656,
CV12BG,434857,278164,
CV12BH,434423,278682,
CV12BJ,434397,278671,
CV12BN,434359,278551,
CV12BP,434548,278616,
CV12BQ,434458,278573,
CV12BS,434633,278596,
CV12BT,434683,278767,
CV12BU,434653,278761,
CV12BW,434515,278650,
CV12BX,434484,278714,
CV12BY,434521,278724,
CV12BZ,434547,278732,
CV12DA,434608,278755,
CV12DB,434697,278638,
CV12DD,434733,278543,
CV12DE,434641,278413,
CV12DF,434746,278319,
CV12DG,434771,278293,
CV12DH,434762,278552,
CV12DJ,434751,278748,
CV12DL,434721,278767,
CV12DP,433361,278678,
CV12DQ,434558,278398,
CV12DR,434637,278525,
