SA11AA,267010,196107,
SA11AF,265831,192998,
SA11AU,266167,192568,
SA11AZ,266306,192451,
SA11BL,267010,196107,
SA11BP,267010,196107,
SA11DE,265730,193010,
SA11DF,265768,192981,
SA11DG,265782,193009,
SA11DH,265751,192991,
SA11DP,265836,192997,
SA11DW,265723,193018,
SA11DX,265417,194373,
SA11DY,265838,192956,
SA11DZ,265871,192951,
SA11EB,265041,193095,
SA11ED,265872,192868,
SA11EE,265868,192907,
SA11EF,265833,192918,
SA11EG,265743,192955,
SA11EJ,265789,192940,
SA11EP,265754,192950,
SA11EQ,265717,192973,
SA11FY,266484,192447,
SA11FZ,266413,192505,
SA11HD,265277,193207,
SA11HE,265272,194448,
SA11HF,265663,193198,
SA11HG,265265,194584,
SA11HS,265542,194240,
SA11HU,265590,194121,
SA11HW,265205,194574,
SA11HY,265670,193165,
SA11HZ,265676,193125,
SA11JE,265621,193096,
SA11JF,265632,193147,
SA11JG,265675,193151,
SA11JH,265675,193151,
SA11JN,265555,192359,
SA11JQ,265685,193104,
SA11JR,265736,193730,
SA11JS,265736,193730,
SA11JT,265736,193730,
SA11JW,265555,192359,
SA11JZ,266272,192413,
SA11LA,265643,193496,
SA11LB,265626,192377,
SA11LD,265643,193496,
SA11LE,265621,193257,
SA11LF,265621,193330,
SA11LG,265640,193397,
SA11LJ,265662,193491,
SA11LL,265606,193736,
SA11LN,265695,193662,
SA11LS,265634,193453,
SA11LT,265667,193499,
SA11LW,265698,193798,
SA11LY,266998,192175,
SA11LZ,265666,193996,
SA11NA,265675,193709,
SA11NB,265742,194007,
SA11NE,265732,193801,
SA11NF,265723,193889,
SA11NG,265719,193549,
SA11NH,265697,193862,
SA11NJ,265729,193977,
SA11NL,265736,193730,
SA11NQ,265701,193518,
SA11NT,265780,193863,
SA11NU,265734,193604,
SA11NW,265682,193398,
SA11NX,265713,193557,
SA11NY,265658,193331,
SA11NZ,265657,193267,
SA11PE,265692,193455,
SA11PG,265532,192318,
SA11PL,265590,192337,
SA11PQ,266133,192799,
SA11PS,267010,196107,
SA11PT,265616,193815,
SA11PU,265616,193815,
SA11PY,265648,193867,
SA11PZ,265648,193867,
SA11QA,265643,193970,
SA11QB,265575,193939,
SA11QD,265575,193939,
SA11QE,265618,194013,
SA11QF,265618,194013,
SA11QG,265573,194037,
SA11QP,265996,192912,
SA11QQ,265505,193820,
SA11QR,266905,192268,
SA11QW,265707,194091,
SA11QX,266024,192971,
SA11RE,266100,192836,
SA11RG,266103,192812,
SA11RH,266034,192795,
SA11RJ,266922,192296,
SA11RL,266052,192801,
SA11RP,266116,192860,
SA11RQ,266070,192802,
SA11RR,266063,192879,
SA11RS,266020,192950,
SA11RT,266152,192750,
SA11RU,266096,192718,
SA11RW,266051,192703,
SA11RY,266048,192839,
SA11RZ,266372,192419,
SA11SA,266238,192523,
SA11SB,265991,192778,
SA11SD,266168,192529,
SA11SE,265980,192790,
SA11SG,266309,192546,
SA11SH,265980,192790,
SA11SN,265918,192771,
SA11SP,265929,193041,
SA11SR,265915,193006,
SA11SU,266190,192405,
SA11SW,265961,192729,
SA11TA,266979,196105,
SA11TB,266979,196105,
SA11TE,266979,196105,
SA11TF,266979,196105,
SA11TG,266979,196105,
SA11TP,266979,196105,
SA11TR,266979,196105,
SA11TS,266056,192704,
SA11TT,266004,192654,
SA11TW,265972,192754,
SA11TY,265970,192681,
SA11UA,266073,192411,
SA11UB,265929,192401,
SA11UD,266078,192455,
SA11UE,266016,192596,
SA11UF,265979,192556,
SA11UG,266044,192567,
SA11UH,266042,192601,
SA11UL,266070,192580,
SA11UN,266378,192578,
SA11UP,266137,192554,
SA11UQ,265898,192482,
SA11UU,266072,192775,
SA11UW,265947,192475,
SA11UX,266110,192781,
SA11UZ,265963,192498,
SA11WD,266093,192749,
SA11WG,266220,192636,
SA11WW,267010,196107,
SA11XA,266016,192522,
SA11XB,266073,192541,
SA11XD,267010,196107,
SA11XH,267010,196107,
SA11XJ,267010,196107,
SA11XW,265918,192437,
SA11XX,265865,192436,
SA11XY,265885,192404,
SA11XZ,265809,192431,
SA11YB,266008,192351,
SA11YE,265785,192393,
SA11YF,265759,192414,
SA11YG,265745,192394,
SA11YH,265710,192380,
SA11YJ,265631,192329,
SA11YN,267010,196107,
SA11YP,267010,196107,
SA11YQ,265822,192379,
SA11YW,265730,192364,
SA11YZ,265853,192399,
SA11ZB,266979,196105,
SA12AA,265923,193485,
SA12AB,265794,193066,
SA12AE,265790,193023,
SA12AF,265738,193051,
SA12AG,265788,193104,
SA12AH,265723,193040,
SA12AL,265916,193227,
SA12AN,265853,194077,
SA12AP,265832,193260,
SA12AQ,265721,193357,
SA12AS,265876,193174,
SA12AW,265870,193539,
SA12AX,265773,193192,
SA12AY,265680,194568,
SA12BA,265835,193207,
